checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_length,installment_rate,personal_status,other_debtors,residence_years,property,age,other_installment_plans,housing,num_existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
no_checking_account,27,delay_in_past,repairs,1695,<100 DM,4_to_7 years,2,male_divorced_separated,none,2,car_or_other,27,none,rent,1,skilled_employee,1,none,yes,Good
0_to_200 DM,49,existing_credits_paid_duly,radio_television,1708,<100 DM,1_to_4 years,4,male_single,none,2,unknown_no_property,33,none,rent,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,18,existing_credits_paid_duly,radio_television,1875,<100 DM,4_to_7 years,4,male_single,none,2,building_society_savings,33,none,own,2,unskilled_resident,1,yes_registered,yes,Bad
no_checking_account,14,critical_account,car_new,860,<100 DM,1_to_4 years,1,male_married_widowed,none,4,building_society_savings,23,bank,rent,2,skilled_employee,2,yes_registered,yes,Good
no_checking_account,10,existing_credits_paid_duly,car_new,1094,<100 DM,>7 years,2,male_married_widowed,co-applicant,3,car_or_other,28,none,rent,1,highly_qualified_employee,1,none,yes,Good
>200 DM,14,critical_account,radio_television,735,unknown_no_savings,4_to_7 years,4,male_single,none,4,car_or_other,30,bank,own,1,highly_qualified_employee,1,yes_registered,yes,Good
no_checking_account,19,critical_account,furniture_equipment,3584,<100 DM,<1 year,1,male_single,none,4,building_society_savings,52,none,rent,1,skilled_employee,1,none,yes,Good
0_to_200 DM,45,critical_account,furniture_equipment,414,<100 DM,1_to_4 years,1,male_single,none,2,building_society_savings,38,none,rent,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,15,critical_account,car_new,4054,<100 DM,>7 years,3,male_married_widowed,none,3,unknown_no_property,43,none,rent,1,skilled_employee,2,yes_registered,yes,Bad
0_to_200 DM,22,existing_credits_paid_duly,car_used,4771,unknown_no_savings,>7 years,3,male_single,none,4,car_or_other,25,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,19,existing_credits_paid_duly,car_new,1463,<100 DM,1_to_4 years,3,male_single,none,3,building_society_savings,49,none,own,1,skilled_employee,1,none,yes,Bad
<0 DM,34,existing_credits_paid_duly,education,292,<100 DM,>7 years,2,male_single,none,4,car_or_other,50,none,own,1,highly_qualified_employee,2,yes_registered,yes,Good
<0 DM,62,existing_credits_paid_duly,car_used,1404,<100 DM,1_to_4 years,2,male_single,none,2,real_estate,22,none,own,3,skilled_employee,1,yes_registered,yes,Good
no_checking_account,15,existing_credits_paid_duly,radio_television,1728,<100 DM,1_to_4 years,4,male_single,none,1,real_estate,30,bank,own,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,16,delay_in_past,car_new,891,<100 DM,>7 years,3,male_single,none,4,building_society_savings,41,none,rent,1,highly_qualified_employee,1,yes_registered,yes,Good
0_to_200 DM,32,delay_in_past,radio_television,1260,500_to_1000 DM,>7 years,2,female_divorced_separated_married,none,4,building_society_savings,42,none,rent,1,unskilled_resident,1,none,yes,Bad
no_checking_account,27,existing_credits_paid_duly,car_used,5277,100_to_500 DM,4_to_7 years,2,male_single,none,4,real_estate,30,none,own,3,highly_qualified_employee,1,yes_registered,yes,Good
<0 DM,46,existing_credits_paid_duly,business,2879,<100 DM,>7 years,4,female_divorced_separated_married,none,4,car_or_other,33,stores,own,2,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,26,existing_credits_paid_duly,retraining,946,500_to_1000 DM,<1 year,1,female_divorced_separated_married,none,4,building_society_savings,31,none,own,2,highly_qualified_employee,1,yes_registered,yes,Good
no_checking_account,17,existing_credits_paid_duly,car_used,590,100_to_500 DM,>7 years,2,male_single,none,4,car_or_other,37,none,own,1,unskilled_resident,2,yes_registered,yes,Good
<0 DM,26,critical_account,business,1438,<100 DM,1_to_4 years,1,female_divorced_separated_married,none,4,real_estate,49,none,own,2,unskilled_resident,1,yes_registered,yes,Bad
<0 DM,33,existing_credits_paid_duly,others,1557,<100 DM,<1 year,4,male_single,none,3,real_estate,30,none,rent,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,29,existing_credits_paid_duly,repairs,2558,<100 DM,1_to_4 years,4,male_single,none,2,unknown_no_property,47,none,own,1,skilled_employee,1,none,yes,Good
<0 DM,25,no_credits_taken,education,1242,<100 DM,1_to_4 years,4,male_single,none,4,car_or_other,30,none,own,1,skilled_employee,1,yes_registered,yes,Good
no_checking_account,32,delay_in_past,car_used,2586,100_to_500 DM,1_to_4 years,4,male_single,co-applicant,2,unknown_no_property,29,none,own,2,highly_qualified_employee,1,yes_registered,yes,Good
no_checking_account,33,delay_in_past,radio_television,7006,unknown_no_savings,1_to_4 years,4,female_divorced_separated_married,none,3,unknown_no_property,44,none,own,2,skilled_employee,2,yes_registered,yes,Bad
no_checking_account,37,existing_credits_paid_duly,car_new,3199,unknown_no_savings,<1 year,3,female_divorced_separated_married,none,3,building_society_savings,46,stores,own,2,skilled_employee,1,yes_registered,yes,Good
no_checking_account,26,all_credits_paid_back,car_new,1748,100_to_500 DM,1_to_4 years,4,male_married_widowed,none,3,building_society_savings,45,bank,for_free,3,unskilled_resident,2,none,yes,Good
no_checking_account,18,existing_credits_paid_duly,others,1590,<100 DM,1_to_4 years,1,male_single,none,3,unknown_no_property,26,none,for_free,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,21,existing_credits_paid_duly,car_used,1408,<100 DM,1_to_4 years,4,male_single,none,1,unknown_no_property,32,stores,own,1,skilled_employee,1,none,yes,Good
no_checking_account,34,delay_in_past,radio_television,4131,>1000 DM,1_to_4 years,4,male_divorced_separated,none,4,car_or_other,44,none,own,1,skilled_employee,1,none,yes,Good
0_to_200 DM,13,existing_credits_paid_duly,domestic_appliances,1165,<100 DM,4_to_7 years,3,male_single,none,3,car_or_other,36,stores,own,2,highly_qualified_employee,1,none,yes,Bad
no_checking_account,23,existing_credits_paid_duly,education,1866,100_to_500 DM,>7 years,3,male_single,none,3,car_or_other,27,bank,for_free,1,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,16,existing_credits_paid_duly,others,1874,>1000 DM,>7 years,2,male_single,none,2,building_society_savings,41,bank,own,2,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,20,critical_account,car_used,1272,100_to_500 DM,1_to_4 years,4,male_single,none,1,car_or_other,30,none,rent,1,unskilled_resident,1,none,yes,Good
<0 DM,35,existing_credits_paid_duly,car_new,691,unknown_no_savings,4_to_7 years,4,female_divorced_separated_married,none,2,car_or_other,57,none,own,1,skilled_employee,2,yes_registered,yes,Bad
<0 DM,21,delay_in_past,furniture_equipment,2266,<100 DM,<1 year,4,male_single,none,4,car_or_other,53,none,rent,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,20,existing_credits_paid_duly,car_new,1732,500_to_1000 DM,<1 year,3,male_married_widowed,none,1,real_estate,42,none,own,1,skilled_employee,1,yes_registered,yes,Bad
no_checking_account,10,existing_credits_paid_duly,car_new,2566,unknown_no_savings,1_to_4 years,4,female_single,none,4,building_society_savings,51,bank,own,2,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,28,no_credits_taken,furniture_equipment,1244,<100 DM,>7 years,3,female_divorced_separated_married,none,2,real_estate,37,none,own,1,unskilled_resident,1,yes_registered,yes,Good
<0 DM,26,existing_credits_paid_duly,radio_television,4249,100_to_500 DM,1_to_4 years,4,male_single,none,2,real_estate,44,none,rent,1,unskilled_resident,1,none,yes,Bad
0_to_200 DM,53,critical_account,radio_television,978,<100 DM,<1 year,3,female_divorced_separated_married,none,2,unknown_no_property,52,stores,for_free,1,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,17,existing_credits_paid_duly,car_used,5993,unknown_no_savings,<1 year,3,female_divorced_separated_married,none,1,real_estate,38,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,22,no_credits_taken,radio_television,532,<100 DM,>7 years,4,male_single,none,4,real_estate,34,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,22,no_credits_taken,car_new,2451,<100 DM,4_to_7 years,4,female_divorced_separated_married,guarantor,4,building_society_savings,23,none,own,1,highly_qualified_employee,2,none,yes,Bad
0_to_200 DM,40,existing_credits_paid_duly,car_new,2521,<100 DM,1_to_4 years,4,male_single,none,3,car_or_other,35,none,own,2,skilled_employee,2,yes_registered,yes,Good
no_checking_account,19,existing_credits_paid_duly,radio_television,1035,500_to_1000 DM,1_to_4 years,1,male_single,none,2,car_or_other,44,stores,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,22,no_credits_taken,radio_television,2433,<100 DM,1_to_4 years,1,female_divorced_separated_married,none,2,real_estate,46,none,own,1,unskilled_resident,1,none,yes,Good
0_to_200 DM,26,critical_account,radio_television,4427,<100 DM,4_to_7 years,4,male_divorced_separated,none,3,real_estate,41,bank,rent,1,skilled_employee,1,yes_registered,no,Bad
no_checking_account,21,existing_credits_paid_duly,car_new,383,<100 DM,<1 year,3,male_married_widowed,none,4,real_estate,31,none,own,1,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,16,existing_credits_paid_duly,education,2570,unknown_no_savings,>7 years,4,female_divorced_separated_married,none,2,building_society_savings,22,none,rent,1,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,21,critical_account,radio_television,315,<100 DM,1_to_4 years,3,male_single,none,4,real_estate,32,none,for_free,1,unskilled_resident,1,yes_registered,yes,Good
no_checking_account,32,existing_credits_paid_duly,radio_television,919,<100 DM,4_to_7 years,1,male_single,none,3,unknown_no_property,33,bank,rent,1,highly_qualified_employee,1,none,yes,Good
<0 DM,12,critical_account,radio_television,5655,500_to_1000 DM,unemployed,4,male_single,none,2,building_society_savings,33,none,own,2,highly_qualified_employee,1,yes_registered,yes,Good
0_to_200 DM,21,existing_credits_paid_duly,education,1203,<100 DM,1_to_4 years,4,male_single,none,3,real_estate,42,none,own,1,unskilled_resident,1,yes_registered,yes,Good
0_to_200 DM,14,critical_account,radio_television,794,unknown_no_savings,1_to_4 years,2,female_divorced_separated_married,none,1,car_or_other,60,none,own,2,skilled_employee,1,yes_registered,yes,Bad
0_to_200 DM,34,existing_credits_paid_duly,radio_television,1574,<100 DM,1_to_4 years,2,female_divorced_separated_married,none,4,building_society_savings,37,none,own,3,highly_qualified_employee,1,yes_registered,yes,Good
<0 DM,10,critical_account,others,7688,100_to_500 DM,<1 year,4,female_divorced_separated_married,none,2,car_or_other,34,none,rent,1,unskilled_resident,1,none,yes,Bad
no_checking_account,15,critical_account,radio_television,501,<100 DM,>7 years,1,male_single,guarantor,4,real_estate,34,none,own,1,skilled_employee,1,yes_registered,yes,Good
0_to_200 DM,23,existing_credits_paid_duly,furniture_equipment,866,<100 DM,<1 year,4,male_single,none,1,car_or_other,37,none,own,1,highly_qualified_employee,1,yes_registered,yes,Good
<0 DM,40,critical_account,radio_television,5157,100_to_500 DM,4_to_7 years,2,male_single,none,4,car_or_other,29,none,own,1,highly_qualified_employee,2,none,yes,Good
0_to_200 DM,19,existing_credits_paid_duly,furniture_equipment,6636,<100 DM,>7 years,4,male_divorced_separated,none,2,unknown_no_property,37,none,own,2,skilled_employee,1,yes_registered,no,Good
no_checking_account,15,existing_credits_paid_duly,car_new,1681,500_to_1000 DM,1_to_4 years,4,male_single,none,4,real_estate,40,bank,own,2,unskilled_resident,1,yes_registered,yes,Good
<0 DM,46,existing_credits_paid_duly,radio_television,759,<100 DM,4_to_7 years,4,male_single,none,4,building_society_savings,38,none,own,1,unskilled_resident,2,yes_registered,yes,Good
<0 DM,10,existing_credits_paid_duly,business,7840,<100 DM,4_to_7 years,3,female_single,none,4,building_society_savings,41,none,own,1,highly_qualified_employee,1,none,yes,Good
0_to_200 DM,7,existing_credits_paid_duly,business,5519,<100 DM,1_to_4 years,4,male_single,none,3,unknown_no_property,40,none,own,1,highly_qualified_employee,2,yes_registered,yes,Good
no_checking_account,24,existing_credits_paid_duly,furniture_equipment,2908,unknown_no_savings,>7 years,3,male_single,none,4,unknown_no_property,23,none,own,1,skilled_employee,1,yes_registered,yes,Good
<0 DM,16,existing_credits_paid_duly,radio_television,1023,<100 DM,1_to_4 years,2,male_single,none,2,real_estate,42,none,own,2,skilled_employee,1,none,yes,Good
